"Page","Source","Review priority","Status","Direct imports","Next acceptance checks"
"GatePass","src/pages/GatePass.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; ../lib/api/gatePassPage; ../contexts/AuthContext; ../contexts/SettingsContext; ../lib/exportUtils; ../lib/formatters; lucide-react; ../components/ui/PageHeader; ../components/ui/DateField; ../components/EmptyState; ../components/ui/StatusBadge; ../components/ui/TablePagination; ../components/workflow/EntityApprovalPanel; ../lib/api; ../lib/audit; ../lib/events; ../lib/safeError","Exercise primary action, denied access, scope change, error/retry and filtered export."
"Geofencing","src/pages/Geofencing.jsx","P1 candidate","Not end-to-end verified","react; ../components/ui/TablePagination; lucide-react; chart.js; react-chartjs-2; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/geofences; ../lib/api/_client; ../lib/geofences; ../lib/reportColors; ../lib/exportUtils; ../lib/safeError","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"GoodsReceipt","src/pages/GoodsReceipt.jsx","P1 candidate","Not end-to-end verified","react; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../components/ui/NotInUseNotice; ../contexts/SettingsContext; ../lib/api/goodsReceipts; ../lib/goodsReceipts; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"GpsTracking","src/pages/GpsTracking.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/gpsPositions; ../lib/gpsPositions; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"HeatIntelligence","src/pages/HeatIntelligence.jsx","P1 candidate","Not end-to-end verified","react; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/Modal; ../contexts/SettingsContext; ../lib/api/heatIntelligence; ../lib/heatIntelligence; ../lib/api/weather; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"HelpCenter","src/pages/HelpCenter.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../contexts/AuthContext; ../contexts/SettingsContext; ../lib/api/support; ../lib/help/faqs; ../lib/safeError; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Exercise primary action, denied access, scope change, error/retry and filtered export."
"HoldingCompany","src/pages/HoldingCompany.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/Modal; ../contexts/SettingsContext; ../contexts/TenantContext; ../lib/api/holdingCompany; ../lib/holdingCompany; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"HoursOfService","src/pages/HoursOfService.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/hosLogs; ../lib/hosLogs; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"IftaReporting","src/pages/IftaReporting.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/iftaRecords; ../lib/iftaRecords; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"IncidentReports","src/pages/IncidentReports.jsx","P1 candidate","Not end-to-end verified","react; ../components/ui/TablePagination; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/incidents; ../lib/incidents; ../lib/exportUtils; ../lib/safeError; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"InspectionIntelligence","src/pages/InspectionIntelligence.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; ../lib/api/inspectionIntelligence; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/TablePagination; ../components/EmailPdfButton; ../contexts/SettingsContext; ../lib/exportUtils; ../lib/safeError; ../lib/inspectorActivity; chart.js; react-chartjs-2; lucide-react","Exercise primary action, denied access, scope change, error/retry and filtered export."
"InspectionPlanner","src/pages/InspectionPlanner.jsx","P2 workflow review","Not end-to-end verified","react; lucide-react; chart.js; react-chartjs-2; ../contexts/SettingsContext; ../contexts/AuthContext; ../contexts/TenantContext; ../contexts/LanguageContext; ../hooks/useFeatureFlags; ../hooks/useEntityWorkflow; ../lib/navAccess; ../lib/workspaceAccess; ../lib/severity; ../lib/safeError; ../lib/formatters; ../lib/inspectionPlanner; ../lib/api/inspectionPlanner; ../lib/exportUtils; ../lib/pdfEngine; ../components/ui/PageHeader; ../components/ui/Modal; ../components/inspection-planner/PlannerWorkQueue; ../components/inspection-planner/PlanAdherencePanel; ../components/inspection-planner/PlannerDialogs","Exercise primary action, denied access, scope change, error/retry and filtered export."
"Inspections","src/pages/Inspections.jsx","P1 candidate","Not end-to-end verified","react; react-router-dom; ../hooks/useFilterState; ../hooks/useInspectionRegister; ../hooks/useScrollRestore; @tanstack/react-virtual; ../lib/supabase; ../lib/fetchAll; ../lib/api/inspections; ../lib/api/correctiveActions; ../contexts/AuthContext; ../contexts/SettingsContext; ../contexts/LanguageContext; ../lib/exportUtils; ../contexts/TenantContext; lucide-react; ../components/SignaturePad; ../components/ui/StatusBadge; ../components/CustomFieldsPanel; ../components/workflow/EntityApprovalPanel; ../components/workflow/ApprovalReview; framer-motion; ../components/ui/PageHeader; ../components/ui/DateField; ../components/ui/MultiSelectFilter; ../components/ui/TablePagination; ../components/VehicleTyreDiagram; ../lib/tyrePositions; ../lib/vehicleTyreLayout; ../hooks/useWakeLock; ../lib/offlineQueue; ../lib/formatters; ../lib/safeError; ../lib/api/userSignature; ../lib/savedSignature; ../lib/commandSearch; ../lib/pdfEngine; ../lib/storageRefs; ../lib/api/tyreRunningLife; ../lib/tyreRunningLife; ../lib/inspectionTyreFlags; ../lib/tyreBay; ../lib/inspectionView; ../lib/tyreCompleteness; ../lib/api/sites; ../lib/tyreChangeTracking; ../lib/api/tyreChangeTracking; ../components/ui/Modal; ../lib/api/correctiveActions; ../lib/api/brandLogo; ../components/inspection/InspectionViewerDrawer; ../components/inspection/InspectionDiagram; ../lib/inspectionChecklistPdf; nothing is due on the vehicles you are looking at","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Exercise primary action, denied access, scope change, error/retry and filtered export."
"InsuranceClaims","src/pages/InsuranceClaims.jsx","P1 candidate","Not end-to-end verified","react; ../components/ui/TablePagination; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/formatters; ../lib/api/insuranceClaims; ../lib/insuranceClaims; ../lib/insuranceClaimsAnalytics; ../lib/exportUtils; ../lib/safeError; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"InsurancePolicies","src/pages/InsurancePolicies.jsx","P2 workflow review","Not end-to-end verified","react; lucide-react; ../lib/safeError; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/formatters; ../lib/api/insurancePolicies; ../lib/insuranceKnowledge; ../lib/insuranceCorrespondence; ../lib/insuranceEmailAnalysis; ../lib/exportUtils; ../lib/api/insurancePortfolio; ../lib/api/sites; ../components/insurance/PortfolioSection; ../components/insurance/CoverageGapsSection; ../components/insurance/ClaimRegisterSection; ../components/insurance/LossExperienceSection; ../components/insurance/PropertyRisksSection","Exercise primary action, denied access, scope change, error/retry and filtered export."
"Integrations","src/pages/Integrations.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../lib/api/integrations; ../lib/api/billing; date-fns; ../lib/formatters; ../lib/safeError","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Exercise primary action, denied access, scope change, error/retry and filtered export."
"JourneyLog","src/pages/JourneyLog.jsx","P1 candidate","Not end-to-end verified","react; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/safeError; ../lib/api/journeys; ../lib/journeys; ../lib/reportColors; ../lib/exportUtils; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"KnowledgeBase","src/pages/KnowledgeBase.jsx","P2 workflow review","Not end-to-end verified","react; lucide-react; ../lib/supabase; ../lib/safeError; ../lib/api/knowledgeDocuments; ../contexts/AuthContext; ../lib/embeddingService; ../components/ui/PageHeader; ../components/workflow/EntityApprovalPanel; ../lib/formatters","Exercise primary action, denied access, scope change, error/retry and filtered export."
"KpiCommandCenter","src/pages/KpiCommandCenter.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; chart.js; react-chartjs-2; lucide-react; ../contexts/LanguageContext; ../lib/supabase; ../lib/fetchAll; ../lib/safeError; ../contexts/SettingsContext; ../contexts/TenantContext; ../lib/formatters; ../lib/exportUtils; ../components/ui/PageHeader; ../components/ui/DateField; ../components/ui/SectionTabs; ../components/ui/SegmentedControl; ../lib/pdfEngine; ../lib/kpiEngine","Exercise primary action, denied access, scope change, error/retry and filtered export."
"KpiScorecard","src/pages/KpiScorecard.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; ../lib/api/kpiTargets; ../lib/api/pmPrograms; ../lib/pmSchedule; ../contexts/AuthContext; ../contexts/LanguageContext; ../contexts/SettingsContext; ../lib/analyticsEngine; ../lib/exportUtils; ../components/EmailPdfButton; ../lib/safeError; ../lib/formatters; lucide-react; framer-motion; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/TablePagination; ../components/ui/DateField; ../components/ui/SectionTabs; chart.js; react-chartjs-2; YYYY-MM","Exercise primary action, denied access, scope change, error/retry and filtered export."
"LiveFleetStatus","src/pages/LiveFleetStatus.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; framer-motion; chart.js; react-chartjs-2; lucide-react; ../lib/supabase; ../lib/safeError; ../lib/fetchAll; ../lib/formatters; ../contexts/AuthContext; ../contexts/SettingsContext; ../components/ui/PageHeader; ../components/VehicleTyreDiagram; ../contexts/LanguageContext","Exercise primary action, denied access, scope change, error/retry and filtered export."
"LoadPlanning","src/pages/LoadPlanning.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/loadPlans; ../lib/loadPlans; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"Login","src/pages/Login.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; framer-motion; lucide-react; ../contexts/AuthContext; ../contexts/LanguageContext; ../components/LanguageSwitcher; ../lib/supabase; ../lib/api/systemConfig; ../lib/api/loginGuard; ../assets/logo.svg; ../lib/brand/library; ../components/TwoFactorChallenge; ../components/illustrations; ../components/ui/BrandIcon; ../components/ui/ThemeToggle; ../lib/accountRecovery","Exercise primary action, denied access, scope change, error/retry and filtered export."
"MaintenanceCalendar","src/pages/MaintenanceCalendar.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; lucide-react; ../lib/supabase; ../lib/fetchAll; ../lib/calendarDate; ../lib/safeError; ../lib/api/pmPrograms; ../lib/pmPrograms; ../contexts/SettingsContext; ../components/ui/PageHeader; ../components/workflow/EntityApprovalPanel","Exercise primary action, denied access, scope change, error/retry and filtered export."
"MaintenanceCostBoard","src/pages/MaintenanceCostBoard.jsx","P2 workflow review","Not end-to-end verified","react; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../components/ui/DateField; ../components/ui/FilterBar; ../components/ui/TablePagination; ../hooks/useFilterState; ../contexts/SettingsContext; ../lib/formatters; ../lib/api/maintenanceAnalytics; ../lib/useLatestRequest; ../lib/maintenanceBoard; ../lib/reportColors; ../lib/exportUtils; ../lib/safeError","Exercise primary action, denied access, scope change, error/retry and filtered export."
"MasterAccessControl","src/pages/MasterAccessControl.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; lucide-react; ../contexts/AuthContext; ./PermissionMatrix; ./SecurityCenter; ./CustomRolesManager; ./AccessGrantsManager","Exercise primary action, denied access, scope change, error/retry and filtered export."
"Materials","src/pages/Materials.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/formatters; ../lib/api/materials; ../lib/materials; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"MyChecklists","src/pages/MyChecklists.jsx","P1 candidate","Not end-to-end verified","react; ../components/ui/TablePagination; react-router-dom; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../contexts/AuthContext; ../lib/api/checklistSchedules; ../lib/api/checklists; ../lib/checklist/checklistRoles; ../lib/checklist/checklistIcons; ../lib/safeError; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Exercise primary action, denied access, scope change, error/retry and filtered export."
"MyWorkspace","src/pages/MyWorkspace.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; ../contexts/AuthContext; ../contexts/SettingsContext; ../contexts/LanguageContext; ../contexts/WorkspaceNavigationContext; ../lib/navAccess; ../lib/workspaceAccess; ../lib/api/workspace","Exercise primary action, denied access, scope change, error/retry and filtered export."
"NotFound","src/pages/NotFound.jsx","P2 workflow review","Not end-to-end verified","react-router-dom; ../components/StateScreen; ../contexts/LanguageContext","Exercise primary action, denied access, scope change, error/retry and filtered export."
"OcrScanner","src/pages/OcrScanner.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/ocrScanner; ../lib/ocrScanner; ../lib/exportUtils; ../lib/safeUrl; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"OdometerLogs","src/pages/OdometerLogs.jsx","P2 workflow review","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../components/ui/TablePagination; ../components/meters/MeterRow; ../components/meters/MeterHistory; ../contexts/AuthContext; ../contexts/SettingsContext; ../lib/api/vehicleMeters; ../lib/vehicleMeters; ../lib/safeError; ../lib/exportUtils","Exercise primary action, denied access, scope change, error/retry and filtered export."
"OnboardingWizard","src/pages/OnboardingWizard.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/onboarding; ../lib/onboarding; ../lib/exportUtils; ../lib/safeUrl; ../lib/safeError; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"OpsIntelligence","src/pages/OpsIntelligence.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../components/EmailPdfButton; ../contexts/SettingsContext; ../lib/api/opsIntelligence; ../lib/api/pmPrograms; ../lib/pmSchedule; ../lib/opsIntelligence; ../lib/exportUtils; ../components/ui/TablePagination; ../lib/safeError","Exercise primary action, denied access, scope change, error/retry and filtered export."
"OrgHierarchy","src/pages/OrgHierarchy.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/Modal; ../lib/api/orgUnits; ../lib/api/users; ../lib/orgUnits; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"PartsCatalog","src/pages/PartsCatalog.jsx","P1 candidate","Not end-to-end verified","react; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/Modal; ../components/ui/TablePagination; ../contexts/SettingsContext; ../lib/formatters; ../lib/api/partsCatalog; ../lib/partsCatalog; ../lib/reportColors; ../lib/exportUtils; ../lib/safeError; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Exercise primary action, denied access, scope change, error/retry and filtered export."
"PartsRequests","src/pages/PartsRequests.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../components/charts/EChart; ../contexts/SettingsContext; ../contexts/AuthContext; ../lib/api/partsRequests; ../lib/partsRequests; ../lib/reportColors; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"PerformanceBenchmark","src/pages/PerformanceBenchmark.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; chart.js; react-chartjs-2; lucide-react; ../lib/api/analyticsReads; ../lib/safeError; ../lib/useLatestRequest; ../contexts/SettingsContext; ../contexts/TenantContext; ../lib/exportUtils; ../components/ui/PageHeader; ../components/ui/TablePagination; ../lib/kpiEngine; ../lib/pdfEngine","Exercise primary action, denied access, scope change, error/retry and filtered export."
"PermissionMatrix","src/pages/PermissionMatrix.jsx","P2 workflow review","Not end-to-end verified","react; lucide-react; ../contexts/AuthContext; ../lib/api/modulePermissions; ../lib/permissionMatrix; ../lib/safeError","Exercise primary action, denied access, scope change, error/retry and filtered export."
"PmPrograms","src/pages/PmPrograms.jsx","P1 candidate","Not end-to-end verified","react; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/Modal; ../contexts/SettingsContext; ../lib/api/pmPrograms; ../lib/pmVocab; ../lib/pmSchedule; ../lib/pmPrograms; ../lib/pmTemplates; ../components/PmVehicleLookup; ../lib/pmVehicleSetup; ../lib/pmAnalytics; ../lib/reportColors; ../lib/costSources; ../lib/api/governedCost; ../lib/api/workOrders; ../lib/api/partsCatalog; ../lib/exportUtils; ../components/ui/TablePagination; ../lib/formatters; ../lib/safeError; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Exercise primary action, denied access, scope change, error/retry and filtered export."
"PolicyManagement","src/pages/PolicyManagement.jsx","P1 candidate","Not end-to-end verified","react; ../components/ui/TablePagination; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/policies; ../lib/policies; ../lib/policyAnalytics; ../lib/exportUtils; ../lib/formatters; ../lib/safeError; ../lib/reportColors; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"PositionIntelligence","src/pages/PositionIntelligence.jsx","P2 workflow review","Not end-to-end verified","react; ../lib/supabase; ../lib/fetchAll; ../lib/safeError; ../contexts/SettingsContext; ../lib/formatters; ../lib/exportUtils; ../lib/tyrePositions; ../components/ui/PageHeader; ../components/ui/Card; ../components/EmailPdfButton; lucide-react; chart.js; react-chartjs-2","Exercise primary action, denied access, scope change, error/retry and filtered export."
"PredictiveMaintenance","src/pages/PredictiveMaintenance.jsx","P2 workflow review","Not end-to-end verified","react; ../lib/supabase; ../lib/fetchAll; ../contexts/SettingsContext; ../lib/formatters; ../lib/exportUtils; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../components/EmailPdfButton; ../lib/predictiveMaintenance; ../lib/safeError","Exercise primary action, denied access, scope change, error/retry and filtered export."
"PressureIntelligence","src/pages/PressureIntelligence.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../lib/supabase; ../lib/fetchAll; ../contexts/SettingsContext; ../contexts/TenantContext; ../lib/exportUtils; ../lib/safeError; ../lib/pdfEngine","Exercise primary action, denied access, scope change, error/retry and filtered export."
"Privacy","src/pages/Privacy.jsx","P2 workflow review","Not end-to-end verified","","Exercise primary action, denied access, scope change, error/retry and filtered export."
"Procurement","src/pages/Procurement.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; chart.js; react-chartjs-2; lucide-react; ../lib/api/procurement; ../components/workflow/EntityApprovalPanel; ../contexts/SettingsContext; ../contexts/AuthContext; ../lib/formatters; ../lib/exportUtils; ../lib/safeError; ../contexts/TenantContext; ../contexts/LanguageContext; ../components/ui/PageHeader; ../lib/pdfEngine","Exercise primary action, denied access, scope change, error/retry and filtered export."
"ProductionM3","src/pages/ProductionM3.jsx","P2 workflow review","Not end-to-end verified","../components/costm3/LedgerPage; ../components/costm3/ProductionRejectionsPanel; ../components/costm3/ProductionMonthlySummary; ../components/costm3/StationMapPanel; ../lib/api/costPerM3","Exercise primary action, denied access, scope change, error/retry and filtered export."
"ProofOfDelivery","src/pages/ProofOfDelivery.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/api/podRecords; ../lib/podRecords; ../lib/safeUrl; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination; ../lib/api/_client","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Distinguish unavailable backend from successful empty results. Exercise primary action, denied access, scope change, error/retry and filtered export."
"PublicStatus","src/pages/PublicStatus.jsx","P2 workflow review","Not end-to-end verified","lucide-react; ../components/public/PublicTrustPage","Exercise primary action, denied access, scope change, error/retry and filtered export."
"PublicSupport","src/pages/PublicSupport.jsx","P2 workflow review","Not end-to-end verified","../components/public/PublicTrustPage","Exercise primary action, denied access, scope change, error/retry and filtered export."
"QrLabels","src/pages/QrLabels.jsx","P2 workflow review","Not end-to-end verified","react; qrcode; ../contexts/SettingsContext; ../lib/api/_client; ../lib/supabase; ../lib/fetchAll; ../lib/qrLabelLayout; ../lib/qrBulkMatch; ../contexts/AuthContext; framer-motion; lucide-react; ../components/ui/PageHeader; ../lib/safeError; ../lib/exportUtils; ../lib/api/brandLogo","Exercise primary action, denied access, scope change, error/retry and filtered export."
"RcaRecords","src/pages/RcaRecords.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; ../lib/api/rca; ../lib/api/correctiveActions; ../contexts/AuthContext; ../contexts/SettingsContext; lucide-react; ../components/ui/PageHeader; ../components/ui/SectionTabs; ../lib/exportUtils; ../lib/safeError","Exercise primary action, denied access, scope change, error/retry and filtered export."
"RecallDetail","src/pages/RecallDetail.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; framer-motion; lucide-react; ../components/workflow/EntityApprovalPanel; ../components/ui/Skeleton; ../components/EmptyState; ../lib/api/recalls; ../contexts/SettingsContext; ../lib/safeError; ../components/ui/TablePagination","Exercise primary action, denied access, scope change, error/retry and filtered export."
"RecallTracker","src/pages/RecallTracker.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; framer-motion; chart.js; react-chartjs-2; lucide-react; ../components/ui/Skeleton; ../lib/api/recalls; ../contexts/SettingsContext; ../contexts/AuthContext; ../contexts/TenantContext; ../lib/exportUtils; ../components/ui/PageHeader; ../components/ui/TablePagination; ../components/EmptyState; ../lib/formatters; ../lib/safeError; ../lib/pdfEngine","Exercise primary action, denied access, scope change, error/retry and filtered export."
"RepairRequests","src/pages/RepairRequests.jsx","P2 workflow review","Not end-to-end verified","react; chart.js; react-chartjs-2; lucide-react; ../components/ui/PageHeader; ../components/ui/Card; ../components/ui/Modal; ../components/EmptyState; ../components/ui/TablePagination; ../contexts/SettingsContext; ../contexts/AuthContext; ../lib/api/repairRequests; ../lib/repairRequests; ../lib/reportColors; ../lib/exportUtils; ../lib/safeError; ../lib/safeUrl","Exercise primary action, denied access, scope change, error/retry and filtered export."
"ReportBuilder","src/pages/ReportBuilder.jsx","P2 workflow review","Not end-to-end verified","react; lucide-react; chart.js; react-chartjs-2; ../lib/supabase; ../contexts/AuthContext; ../components/ui/PageHeader; ../components/ui/DateField; ../components/ui/SectionTabs; ../components/ui/EnterpriseTable; ../hooks/useReportMeta; ../lib/exportUtils; ../lib/chartCapture; ../lib/safeError; ../lib/reportBuilder; ../lib/api/savedViews","Exercise primary action, denied access, scope change, error/retry and filtered export."
"ReportCenter","src/pages/ReportCenter.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; framer-motion; lucide-react; ../lib/supabase; ../lib/fetchAll; ../lib/countryFilter; ../contexts/AuthContext; ../contexts/SettingsContext; ../contexts/TenantContext; ../contexts/LanguageContext; ../lib/formatters; ../lib/safeUrl; ../lib/exportUtils; ../components/ui/PageHeader; ../components/ui/SectionTabs; ../components/LoadingState; ../components/EmptyState; ../components/illustrations; ../lib/safeError","Exercise primary action, denied access, scope change, error/retry and filtered export."
"Reports","src/pages/Reports.jsx","P2 workflow review","Not end-to-end verified","react; framer-motion; lucide-react; ../components/ui/Skeleton; ../components/ui/PageHeader; ../components/ui/DateField; ../components/ui/SectionTabs; ../lib/supabase; ../contexts/SettingsContext; ../contexts/LanguageContext; ../lib/exportUtils; ../lib/countryFilter; ../lib/fetchAll; ../components/EmailReportModal; ../lib/formatters; ../lib/api/pmPrograms; ../lib/safeError","Exercise primary action, denied access, scope change, error/retry and filtered export."
"ReportShare","src/pages/ReportShare.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; lucide-react; ../lib/api/reportShares; ../lib/reportColors; ../lib/safeUrl; ../lib/reportShareLayout; ../components/display/ShareBlockView; ../components/ui/TablePagination; ../components/charts/EChart","Exercise primary action, denied access, scope change, error/retry and filtered export."
"ReportSharing","src/pages/ReportSharing.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; lucide-react; ../components/ui/PageHeader; ../components/display/ReportSharesPanel; ../lib/api/reportShares; ../lib/reportShareLayout; ../lib/reportColors; ../contexts/AuthContext; ../lib/safeError","Exercise primary action, denied access, scope change, error/retry and filtered export."
"Requisitions","src/pages/Requisitions.jsx","P1 candidate","Not end-to-end verified","react; lucide-react; ../components/ui/PageHeader; ../contexts/SettingsContext; ../lib/formatters; ../lib/api/requisitions; ../lib/requisitions; ../lib/exportUtils; ../lib/safeError; ../components/ui/TablePagination","Trace bounded reads: prove totals, conflict checks and exports cover the intended dataset. Exercise primary action, denied access, scope change, error/retry and filtered export."
"ResetPassword","src/pages/ResetPassword.jsx","P2 workflow review","Not end-to-end verified","react; react-router-dom; lucide-react; ../lib/supabase; ../contexts/LanguageContext; ../lib/safeError; ../lib/api/systemConfig","Exercise primary action, denied access, scope change, error/retry and filtered export."
